outcome,group_panel,cycle,round,mean,std_error,N
2,5,2,2,98.888885,.73723847,54
2,5,2,3,99.515152,.42743713,55
2,5,2,4,99.245285,.34359518,53
2,5,2,5,99.444443,.24530692,54
2,5,2,6,98.121208,.81495398,55
2,5,3,1,98.616348,.45285714,53
2,5,3,2,97.469139,.98097116,54
2,5,3,3,94.634918,1.3340163,105
2,5,3,4,93.522011,2.0047016,53
2,5,3,5,94.320984,1.7855996,54
2,5,3,6,94.730156,1.2971126,105
2,5,4,1,96.79245,.77745545,53
2,5,4,2,95.144928,.90184677,92
2,5,4,3,90.952377,1.4069384,105
2,5,4,4,87.169807,2.5324793,53
2,5,4,5,87.644928,2.1623459,92
2,5,4,6,90.126984,1.8156399,105
2,5,5,1,96.451614,1.2960389,62
2,5,5,2,92.989693,1.4675474,97
2,5,5,3,87.948715,1.635448,104
2,5,5,4,80.376343,3.4367056,62
2,5,5,5,80.58419,2.3279939,97
2,5,5,6,82.980766,2.6401148,104
